Cocktail Name,Ingredients,Preparation,Glassware,Bartender,Location,Image_URL,Image_Path
Whiskey Sour,45 ml Bourbon Whiskey 25 ml Fresh Lemon Juice 20 ml Sugar Syrup Few Drops of Egg White (Optional),"Pour all ingredients into cocktail shaker filled with ice. Shake well. Strain into cobbler glass. If served “On the rocks”, strain ingredients into old fashioned glass filled with ice. NOTE: If egg white is used shake little harder to release and incorporate the foam from the egg white.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-whiskey-sour-66949132e6ae9.webp,cocktail_images\whiskey_sour.jpg
White Lady,40 ml Gin 30 ml Triple Sec 20 ml Fresh Lemon Juice,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-white-lady-6694913318105.webp,cocktail_images\white_lady.jpg
Bellini,100 ml Prosecco 50 ml White Peach Puree,"Pour peach puree into the mixing glass with ice, add the Prosecco wine. Stir gently and pour in a chilled flute glass. NOTE: Puccini – Fresh Mandarin Orange Juice; Rossini – Fresh Strawberry Puree; Tintoretto –  Fresh Pomegranate Juice.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-bellini-6695cda4217da.webp,cocktail_images\bellini.jpg
Black Russian,50 ml Vodka 20 ml Coffee Liqueur,Pour the ingredients into the old fashioned glass filled with ice cubes. Stir gently. strain ingredients into old fashioned glass filled with ice. NOTE: WHITE RUSSIAN – Float fresh cream on the top and stir in slowly.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-black-russian-6695cda4183dc.webp,cocktail_images\black_russian.jpg
Bloody Mary,"45 ml Vodka 90 ml Tomato Juice 15 ml Fresh Lemon Juice 2 dashes Worcestershire Sauce Tabasco, Celery Salt, Pepper (Up to taste)","Stir gently all the ingredients in a mixing glass with ice, pour into rocks glass. NOTE: If requested served with ice, pour into highball glass.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-bloody-mary-6695cda72fe0f.webp,cocktail_images\bloody_mary.jpg
Caipirinha,60 ml Cachaça 1 Lime cut into small wedges 4 Teaspoons White Cane Sugar,Place lime and sugar into a double old fashioned glass and muddle gently. Fill the glass with cracked ice and add Cachaça. Stir gently to involve ingredients. Note: Caipiroska – Instead of Cachaça use Vodka; Caipirissima – Instead of Cachaça use Rum. Caipirão – Instead of Cachaça use Licor Beirão.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-caipirinha-6695cda74b13a.webp,cocktail_images\caipirinha.jpg
Cardinale,40 ml Gin 20 ml Dry Vermouth 10 ml Bitter Campari,Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-cardinale-6695cdaa5f0d8.webp,cocktail_images\cardinale.jpg
Champagne Cocktail,90 ml Chilled Champagne 10 ml Cognac 2 dashes Angostura bitters Few drops of Grand Marnier (optional) 1 sugar cube,"Place the sugar cube with 2 dashes of bitters in a large Champagne glass, add the cognac. Pour gently chilled Champagne.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-champagne-cocktail-6695cdaa71bb2.webp,cocktail_images\champagne_cocktail.jpg
Corpse Reviver #2,30 ml Gin 30 ml Cointreau 30 ml Lillet Blanc 30 ml Fresh Lemon Juice 1 dash Absinthe,Pour all ingredients into shaker with ice. Shake well and strain in chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-corpse-reviver-2-6695cdad6da15.webp,cocktail_images\corpse_reviver__2.jpg
Cosmopolitan,40 ml Vodka Citron 15 ml Cointreau 15 ml Fresh Lime Juice 30 ml Cranberry Juice,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-cosmopolitan-6695cdae389dc.webp,cocktail_images\cosmopolitan.jpg
